brand,ram,storage,screen_size,weight,battery_life,operating_system,price,GPU_brand,easly_reapairable
Acer,22,3790,15.9,4.65,9.3,Windows,1934.63,nvidia,true
Lenovo,45,267,11.7,3.06,10.2,Linux,347.44,amd,false
Dell,17,3431,11.6,1.67,9.0,Windows,3219.57,amd,false
HP,50,1242,16.6,3.63,10.1,macOS,4029.7,intel,true
Acer,4,615,10.4,3.86,4.1,Windows,835.22,amd,true
Toshiba,64,2497,10.4,4.18,6.3,Windows,4637.86,intel,false
Lenovo,6,1560,15.1,4.01,11.6,Chrome OS,3666.18,amd,true
Apple,3,198,15.3,1.49,8.1,Windows,2265.57,nvidia,true
Toshiba,42,865,13.4,5.47,10.8,Linux,2819.66,intel,false
HP,42,1830,14.4,7.92,2.6,macOS,887.51,nvidia,false
Apple,17,3669,11.2,3.72,5.4,Windows,4489.49,amd,true
Lenovo,58,3768,12.7,2.22,3.8,Chrome OS,1944.99,intel,true
HP,40,2007,12.4,7.3,3.6,Chrome OS,4594.42,intel,true
Lenovo,47,794,12.5,4.11,9.3,Linux,1532.26,nvidia,true
Samsung,40,1499,13.3,1.98,8.5,Windows,1297.54,amd,false
Microsoft,46,3153,15.6,9.47,8.3,Windows,1121.96,amd,true
Sony,7,2090,14.1,1.46,4.3,macOS,4464.46,intel,true
Lenovo,58,2817,12.0,9.29,8.1,macOS,1120.23,amd,false
HP,30,1490,11.7,6.63,3.4,Linux,1257.52,nvidia,true
Asus,28,1434,10.1,4.94,5.5,Chrome OS,3117.7,intel,false
Acer,23,1765,14.1,9.86,4.2,Chrome OS,3450.84,amd,false
Dell,8,2090,10.7,3.85,7.2,macOS,3853.38,intel,false
Lenovo,48,2874,16.1,3.43,7.9,Chrome OS,2522.3,intel,false
Acer,20,1982,15.6,2.85,6.7,Windows,2686.78,nvidia,false
Lenovo,36,3945,10.1,8.67,7.0,Windows,4798.55,amd,false
Acer,58,3175,13.0,4.69,8.2,Linux,1597.41,amd,false
Lenovo,30,3079,10.5,1.56,8.3,macOS,1975.46,nvidia,false
Sony,54,4037,13.2,7.8,3.7,Linux,4938.81,intel,true
Samsung,11,3783,10.1,7.35,8.4,Linux,3403.61,amd,true
Dell,15,1603,15.8,5.01,8.0,macOS,718.77,amd,false
Asus,36,3566,13.0,7.41,9.1,Chrome OS,4634.62,amd,false
Lenovo,28,2333,11.1,4.06,4.9,Windows,201.79,intel,true
HP,12,1583,12.5,4.75,11.1,Windows,4562.55,amd,false
Apple,37,1509,12.8,5.31,5.0,Windows,3728.82,amd,true
Toshiba,41,4043,14.7,5.59,7.9,Chrome OS,2126.09,nvidia,false
Lenovo,53,2140,16.7,4.97,9.6,macOS,644.37,nvidia,false
Asus,10,3587,11.7,7.43,7.9,Windows,2728.16,intel,true
Asus,50,1988,15.6,1.95,11.2,macOS,4052.14,intel,false
Microsoft,9,1575,12.3,2.27,8.3,Windows,653.03,nvidia,false
Apple,3,411,16.4,7.18,6.7,macOS,956.14,intel,true
Acer,42,3335,16.0,1.68,6.4,Linux,3877.28,nvidia,false
Asus,59,3762,15.4,7.94,4.0,Chrome OS,3766.1,intel,true
Toshiba,56,1831,11.7,2.2,6.9,macOS,2543.31,nvidia,false
Microsoft,49,1933,11.8,3.95,11.8,Chrome OS,1261.92,amd,false
Sony,45,2621,16.8,4.87,11.7,Linux,4015.31,intel,false
Dell,16,3524,11.0,4.53,6.5,Windows,1478.52,amd,true
Samsung,18,2086,13.3,1.51,10.1,Windows,483.16,amd,true
Samsung,41,2587,14.9,2.69,3.5,Chrome OS,2205.73,amd,false
Dell,60,2352,11.4,1.16,7.3,Linux,2238.99,nvidia,false
Toshiba,58,541,16.1,5.69,4.8,Windows,1375.33,intel,true
Samsung,60,2189,15.5,2.6,2.3,Chrome OS,1193.77,nvidia,false
Lenovo,29,1281,10.1,7.23,8.4,Windows,1290.31,nvidia,true
Samsung,26,618,14.5,5.3,2.8,Chrome OS,2075.09,intel,true
Acer,35,2228,13.8,4.43,6.1,Linux,3293.32,nvidia,false
Toshiba,37,3942,11.1,3.6,4.7,macOS,1047.93,amd,false
Sony,32,1628,14.4,9.35,3.8,Chrome OS,323.99,amd,false
Samsung,36,2660,14.7,7.22,7.3,Windows,683.14,amd,true
Dell,61,3108,14.9,2.59,5.3,Windows,1593.8,nvidia,false
Apple,22,951,14.5,1.37,8.2,Chrome OS,3476.47,intel,true
Toshiba,42,1248,12.1,4.55,10.4,Windows,569.05,amd,false
Acer,63,422,10.5,7.33,3.1,Linux,648.42,amd,true
Microsoft,2,903,13.5,5.89,11.2,Windows,2762.5,amd,false
Microsoft,55,2774,14.5,7.2,10.0,Linux,2898.83,intel,false
Lenovo,33,135,15.7,9.17,2.1,macOS,4447.71,nvidia,true
HP,13,2770,15.3,7.57,10.4,macOS,4951.02,nvidia,true
Samsung,62,3403,10.1,1.87,6.7,Windows,833.59,nvidia,false
Samsung,14,446,11.7,4.9,10.5,Windows,579.32,intel,false
Asus,59,414,10.5,1.71,11.8,macOS,4556.26,nvidia,true
Sony,57,1216,16.2,6.7,10.6,Chrome OS,3228.75,nvidia,true
Apple,29,1549,16.4,1.05,5.3,Linux,1072.33,amd,false
HP,15,1037,12.6,1.93,7.6,macOS,4650.9,nvidia,false
Lenovo,49,3312,13.3,7.68,6.8,Linux,3422.24,intel,false
Sony,52,3746,14.2,7.74,10.1,Linux,1972.9,intel,true
Acer,47,1952,12.4,4.02,3.7,Linux,738.29,intel,true
Microsoft,45,1343,16.3,5.19,7.7,macOS,2933.31,amd,true
Microsoft,27,1943,15.0,2.71,11.3,macOS,2578.36,nvidia,false
Toshiba,9,2557,10.5,1.35,9.5,macOS,838.63,nvidia,false
Sony,17,1029,15.6,3.8,5.9,Windows,3946.19,nvidia,true
Sony,43,3108,10.1,1.77,3.8,Chrome OS,3946.61,nvidia,true
Microsoft,26,715,13.4,7.81,9.1,Windows,4102.03,intel,true
Sony,32,1730,14.9,1.34,6.7,Linux,2958.79,amd,false
Samsung,41,3986,13.6,7.09,8.4,macOS,2372.1,intel,false
Asus,57,1065,12.2,1.27,4.1,macOS,3909.18,nvidia,false
HP,62,1562,13.8,2.18,4.8,Windows,3980.31,nvidia,false
Apple,52,1859,12.6,3.46,5.7,Chrome OS,1210.66,intel,true
Apple,8,1442,12.5,8.17,6.3,Linux,3779.33,nvidia,false
HP,62,2193,14.1,8.13,7.4,Chrome OS,398.28,amd,false
HP,29,2948,10.1,9.23,9.3,Linux,3192.48,amd,false
Lenovo,51,3420,14.8,3.74,4.8,Chrome OS,929.94,nvidia,true
Lenovo,53,801,12.2,2.05,6.9,Linux,4200.96,nvidia,false
Dell,53,2532,13.8,4.15,3.9,macOS,200.67,amd,false
Acer,63,3957,12.6,4.11,6.9,macOS,434.84,amd,true
Samsung,25,3339,11.2,6.65,2.4,Chrome OS,1269.89,nvidia,true
Dell,52,2763,10.6,1.13,6.7,Chrome OS,3161.03,intel,false
Samsung,62,3362,12.1,1.13,4.4,Windows,1078.77,nvidia,false
Apple,14,1051,16.4,4.64,6.9,Windows,3366.16,intel,false
Toshiba,56,2319,13.3,1.39,2.7,Windows,3455.19,nvidia,true
Microsoft,23,3757,12.7,9.99,6.2,Windows,1867.1,nvidia,true
Toshiba,62,2037,16.3,6.56,8.8,Windows,954.32,nvidia,false
Toshiba,51,1947,12.9,1.11,2.6,Windows,3629.7,amd,false
Apple,12,4051,11.4,3.53,3.8,Windows,655.82,amd,false
Dell,59,3801,16.5,5.77,2.5,Windows,2238.11,nvidia,false
Acer,60,3493,16.4,5.52,11.8,macOS,1666.37,nvidia,true
Sony,45,589,10.4,8.74,2.8,Chrome OS,950.59,nvidia,true
Sony,42,1709,14.3,1.46,2.3,Linux,2478.77,amd,false
Samsung,2,2656,15.9,5.05,10.0,macOS,686.46,nvidia,true
Lenovo,56,2712,14.9,1.32,10.7,macOS,4594.1,amd,false
Microsoft,46,2366,16.8,9.16,3.1,Windows,2786.16,amd,false
Toshiba,64,1220,16.6,1.32,5.2,Windows,4878.26,nvidia,true
Apple,49,2070,15.3,7.72,7.9,Linux,3022.51,nvidia,true
Microsoft,29,2816,12.5,8.35,2.4,Linux,2709.21,nvidia,true
Lenovo,44,3639,10.2,3.92,10.3,Chrome OS,2665.6,nvidia,true
Asus,14,2791,12.9,4.03,10.2,macOS,4421.92,intel,true
Samsung,36,410,10.1,8.16,8.5,Chrome OS,3356.27,intel,true
Samsung,57,1236,14.1,9.32,7.1,Linux,3752.65,intel,false
Lenovo,5,2560,15.6,8.97,11.2,Windows,1266.61,nvidia,true
Sony,59,1010,12.4,8.43,10.8,Windows,4659.35,nvidia,true
Toshiba,51,3024,13.6,4.46,10.1,macOS,724.01,intel,false
Apple,23,2652,15.5,9.4,5.1,Chrome OS,3959.64,nvidia,true
HP,46,3424,11.4,9.77,7.4,macOS,4412.39,amd,true
Microsoft,37,532,11.9,3.2,3.0,Windows,4824.54,nvidia,false
Dell,13,3316,10.1,4.89,3.8,Windows,4426.54,intel,true
Asus,37,2253,13.6,7.12,9.9,Windows,2649.3,intel,false
Sony,59,160,16.1,8.41,7.5,Windows,1063.93,amd,false
Lenovo,58,3428,14.8,7.36,7.9,macOS,3546.47,amd,false
Samsung,15,2823,13.6,5.01,3.8,Windows,4806.58,intel,true
Sony,16,2394,16.0,2.83,11.8,macOS,4027.64,nvidia,false
Toshiba,50,1581,13.6,4.26,3.8,macOS,4604.88,nvidia,true
Apple,21,1409,13.5,9.65,11.5,Linux,1603.97,nvidia,true
Acer,18,239,14.7,3.52,8.1,Chrome OS,1805.46,nvidia,true
Apple,18,737,15.7,2.13,8.2,macOS,4338.43,nvidia,true
Dell,3,2644,16.8,2.2,5.6,Linux,837.1,nvidia,false
Microsoft,12,897,13.6,3.88,5.7,Windows,1497.65,nvidia,true
Dell,52,2266,10.3,4.06,7.6,macOS,2242.97,intel,false
Sony,24,3187,10.7,1.4,5.2,Linux,732.24,amd,false
Samsung,15,2604,15.2,5.3,8.2,Linux,2108.03,intel,true
Apple,27,2346,12.0,5.48,3.1,Linux,3696.17,intel,false
Lenovo,62,3513,11.6,7.79,8.9,Windows,2495.59,intel,true
Sony,44,824,12.4,9.11,7.5,Chrome OS,3345.85,nvidia,true
Sony,44,2461,13.8,7.38,7.3,macOS,1901.96,nvidia,true
Asus,22,1305,14.5,8.8,3.9,macOS,4903.64,nvidia,false
HP,39,949,10.6,1.66,3.1,Linux,4593.28,intel,false
Samsung,4,2797,11.6,2.08,9.5,Linux,4265.63,intel,false
Toshiba,23,767,13.9,5.54,6.2,Chrome OS,2781.61,nvidia,false
Acer,3,926,11.5,1.24,3.9,Linux,1859.79,nvidia,false
Acer,33,1647,13.0,1.66,10.8,Linux,2715.41,amd,false
Dell,53,933,15.8,2.59,6.6,Chrome OS,2833.2,amd,false
Samsung,59,2014,14.5,4.28,3.1,Linux,2477.75,nvidia,false
Acer,47,2555,13.0,5.2,5.4,macOS,1925.69,amd,false
Lenovo,19,3883,12.9,7.17,7.7,macOS,3483.02,nvidia,true
Apple,61,1135,12.4,2.99,7.4,macOS,550.7,nvidia,true
Samsung,36,755,10.5,9.09,10.7,Linux,659.17,amd,true
HP,16,362,15.9,4.44,6.7,Linux,1289.65,nvidia,false
Dell,59,3612,12.9,1.12,8.2,Linux,3926.84,intel,false
Microsoft,12,3842,10.5,6.85,3.2,Linux,3708.11,intel,true
HP,27,702,15.7,2.75,4.8,Windows,546.48,intel,true
Microsoft,62,2362,13.2,6.61,7.8,Linux,975.52,nvidia,true
Acer,43,2432,10.4,2.76,4.5,macOS,2102.54,intel,true
Samsung,2,1246,11.3,2.85,3.0,macOS,2101.66,intel,false
Sony,54,2693,15.9,9.06,2.8,macOS,216.27,nvidia,true
Sony,43,2597,14.6,5.45,8.4,Linux,1892.51,amd,true
Samsung,42,3620,14.0,3.57,8.8,Windows,835.49,nvidia,false
Microsoft,40,1896,13.9,1.09,6.9,macOS,4268.96,nvidia,true
Dell,44,4013,16.7,5.39,11.9,Windows,4661.63,nvidia,false
Apple,59,3544,15.6,2.66,8.0,Chrome OS,721.89,intel,false
Lenovo,61,1615,12.4,5.31,10.9,Windows,4491.8,amd,false
Lenovo,40,441,10.6,6.19,2.5,Chrome OS,3037.95,amd,false
Acer,12,3933,13.4,6.44,5.6,Linux,4053.98,intel,false
Toshiba,5,2924,16.2,7.6,8.7,Linux,2929.54,intel,false
Acer,55,1400,10.7,3.39,10.1,Windows,3427.66,intel,false
Dell,2,1910,12.8,2.75,7.2,Windows,2317.0,intel,true
Asus,39,4020,12.1,1.02,10.1,Windows,3105.37,intel,false
Lenovo,32,948,10.9,6.62,3.9,Chrome OS,4858.31,intel,false
Apple,4,1276,11.2,2.81,4.6,Linux,3477.55,nvidia,false
Toshiba,49,1742,16.2,7.33,2.4,macOS,4774.77,nvidia,true
Lenovo,31,2852,16.3,7.96,11.8,Chrome OS,1480.81,intel,false
Acer,9,801,10.7,2.09,4.1,Chrome OS,2665.05,nvidia,false
Dell,8,795,14.7,7.95,9.7,Windows,3715.3,nvidia,false
Samsung,2,1565,10.1,4.4,5.5,Chrome OS,2011.64,amd,true
Samsung,50,153,15.1,1.13,4.8,Linux,1272.42,intel,true
Microsoft,13,3525,11.6,7.51,5.5,Chrome OS,2149.39,amd,true
Apple,51,3245,13.2,1.33,2.0,Linux,4598.34,nvidia,false
Asus,34,269,13.4,9.69,2.1,Linux,1503.79,amd,false
Acer,6,331,14.1,7.52,9.8,Chrome OS,611.21,intel,true
Apple,36,1153,15.5,2.34,11.7,macOS,3863.45,nvidia,false
HP,56,803,14.2,7.71,9.7,macOS,1182.95,intel,true
Asus,42,3473,11.8,2.02,7.0,Linux,3535.62,intel,true
Lenovo,24,594,12.8,3.64,4.9,Chrome OS,3805.49,nvidia,false
Asus,55,3302,12.5,3.03,9.1,Windows,4343.57,intel,false
Acer,37,1471,15.5,3.36,9.8,Chrome OS,4270.7,intel,false
Dell,15,2846,15.9,9.52,3.4,macOS,2150.39,nvidia,true
HP,59,3450,13.9,7.21,4.6,Windows,639.32,nvidia,false
Acer,44,432,15.5,1.03,8.1,Chrome OS,1397.96,amd,true
Microsoft,12,3106,12.8,2.87,5.9,Linux,1489.1,amd,false
Asus,24,730,10.0,4.64,11.7,Chrome OS,4921.88,nvidia,true
Acer,39,944,11.4,7.08,3.9,macOS,4521.23,nvidia,true
HP,64,2047,14.5,3.22,9.4,Chrome OS,2775.32,nvidia,false
Acer,3,3474,14.5,9.75,8.3,Linux,278.47,intel,false
Toshiba,12,3056,11.3,4.84,3.5,Windows,2429.0,amd,false
Sony,40,1367,10.4,9.73,10.5,Chrome OS,1802.14,intel,true
Toshiba,44,3441,14.8,4.12,5.1,macOS,2643.73,nvidia,false
Microsoft,52,2348,11.6,6.12,7.6,Chrome OS,2256.2,nvidia,true
HP,42,3046,14.2,8.63,5.5,Windows,256.44,nvidia,false
Acer,16,1021,11.7,4.11,5.1,Linux,805.31,amd,true
Samsung,5,3994,12.2,6.04,9.9,Chrome OS,4800.05,intel,false
Toshiba,48,851,11.3,7.0,10.8,macOS,2928.08,nvidia,true
Sony,20,2319,11.0,9.44,3.9,macOS,2027.23,nvidia,true
HP,20,3421,16.7,3.17,2.2,macOS,2052.34,amd,true
Sony,21,166,14.5,3.9,4.1,Chrome OS,743.07,amd,false
HP,44,3134,16.0,1.66,5.8,Linux,3013.81,nvidia,false
Toshiba,41,2542,16.6,9.95,11.8,macOS,870.6,nvidia,true
Apple,51,1455,10.8,4.26,9.0,Chrome OS,342.23,nvidia,true
Microsoft,5,1037,10.2,4.8,8.8,macOS,352.02,amd,false
Samsung,6,3892,15.2,8.97,4.3,Linux,365.29,intel,true
Lenovo,15,3886,12.1,2.65,5.2,macOS,2930.28,amd,true
Toshiba,3,2644,16.1,7.59,6.1,Windows,2558.27,intel,false
Apple,48,2300,13.5,4.33,9.5,Linux,2892.55,amd,true
Lenovo,63,800,14.0,3.15,4.7,Linux,3776.52,amd,true
Acer,10,685,13.6,6.83,5.9,Windows,640.76,amd,false
Asus,2,3724,11.6,5.1,5.0,macOS,2089.59,nvidia,false
Samsung,32,3376,13.5,1.72,4.2,Windows,552.69,nvidia,true
Acer,9,1566,16.3,1.96,7.3,Windows,3791.7,nvidia,true
Apple,46,243,12.4,2.28,6.7,Linux,2320.38,amd,true
HP,61,3868,10.4,8.23,5.0,Linux,2853.93,amd,true
Apple,47,798,14.7,1.98,6.7,Linux,2260.95,amd,true
Microsoft,27,582,16.5,5.36,10.8,Windows,1052.23,nvidia,true
Asus,31,2416,15.2,2.67,11.7,macOS,2926.5,nvidia,false
Dell,29,2737,16.6,3.43,9.2,Windows,2327.03,nvidia,true
Toshiba,64,4035,16.7,6.17,2.7,macOS,217.14,amd,false
Acer,31,1178,13.2,5.16,11.7,macOS,1250.8,nvidia,false
Lenovo,43,874,14.4,9.29,4.9,Windows,1258.36,amd,false
Microsoft,38,3967,11.5,6.19,2.5,Windows,1188.89,nvidia,false
HP,25,2649,14.7,1.23,4.4,Linux,391.0,intel,false
Dell,44,1040,14.1,3.09,6.5,Chrome OS,3999.94,nvidia,false
HP,48,2995,16.8,6.13,3.5,Chrome OS,1941.53,nvidia,true
Toshiba,64,3426,15.3,9.82,2.6,Linux,3965.21,amd,true
Apple,50,3926,10.6,8.64,8.5,Chrome OS,608.35,amd,false
Acer,20,1470,15.7,7.88,7.6,macOS,4825.0,intel,false
Samsung,43,283,16.4,4.23,7.3,Chrome OS,1393.37,intel,false
Samsung,59,2802,13.4,7.4,3.2,Linux,2959.56,nvidia,false
Lenovo,51,2689,12.9,9.23,8.5,macOS,596.67,nvidia,true
Asus,41,1220,13.3,2.4,5.3,Linux,2331.86,amd,false
Lenovo,42,511,12.1,2.02,6.6,Chrome OS,218.18,intel,false
Lenovo,27,1701,14.8,4.44,8.8,Chrome OS,4033.8,amd,true
Sony,64,806,14.5,1.76,8.7,macOS,4127.59,amd,false
Lenovo,46,3163,13.2,9.22,2.4,Linux,4383.41,amd,true
Dell,12,352,14.6,9.93,9.1,macOS,2177.63,nvidia,false
Acer,8,498,10.7,4.12,6.1,Chrome OS,4234.1,nvidia,false
Acer,17,2292,10.6,6.3,11.4,macOS,4194.45,nvidia,false
Acer,64,3435,11.3,9.48,2.9,macOS,4937.18,amd,false
Dell,21,1415,16.5,1.46,10.8,Linux,665.9,nvidia,false
Toshiba,14,3927,12.2,6.27,9.5,Chrome OS,4513.57,nvidia,false
Dell,42,2786,11.3,8.46,5.2,macOS,1859.55,intel,true
Sony,32,806,11.3,3.15,7.9,Windows,2214.05,nvidia,false
Apple,23,1963,12.3,7.33,7.7,Chrome OS,3509.73,nvidia,false
Dell,46,1454,10.2,4.96,9.9,Chrome OS,2294.45,intel,true
Samsung,61,3836,15.6,8.56,2.3,macOS,1969.55,amd,true
Toshiba,11,3734,12.3,6.67,5.7,macOS,1109.41,intel,false
Lenovo,56,1472,13.8,8.61,4.1,Chrome OS,3297.54,amd,false
Acer,8,3778,14.3,6.7,3.0,macOS,2364.9,nvidia,false
Microsoft,44,2832,16.8,4.06,10.5,Linux,1481.64,amd,false
Microsoft,20,489,12.8,5.55,10.7,Chrome OS,4720.06,amd,false
Sony,52,1789,12.3,9.02,4.8,Chrome OS,1817.4,amd,true
Dell,5,410,11.6,1.42,4.8,Linux,1168.84,intel,false
Microsoft,41,4002,10.2,8.23,6.5,Windows,3502.75,amd,true
Sony,41,3263,12.6,5.05,11.7,Windows,1782.35,intel,false
Apple,43,1814,16.6,3.69,3.2,Chrome OS,3598.18,nvidia,false
Dell,35,2161,16.8,2.13,8.7,Chrome OS,735.69,intel,true
Acer,44,3593,16.4,7.65,4.4,Linux,2139.78,nvidia,false
Apple,30,294,10.2,5.27,6.6,Windows,2334.31,nvidia,false
Microsoft,62,1183,11.4,8.69,2.4,Linux,2416.72,amd,false
Apple,21,3191,14.1,2.46,6.7,Linux,825.23,intel,false
Microsoft,58,3842,12.0,6.72,5.6,Windows,517.54,intel,true
Toshiba,50,2564,11.6,3.21,5.4,Chrome OS,2415.9,nvidia,false
Lenovo,34,1725,11.0,2.68,3.6,macOS,4248.01,intel,false
Apple,23,3336,13.5,9.56,8.5,Chrome OS,241.59,amd,true
Acer,49,2909,16.8,2.78,4.6,Windows,4363.72,amd,false
Acer,15,509,14.4,9.64,6.5,Windows,867.01,amd,false
Toshiba,33,832,11.8,3.58,10.7,Chrome OS,2501.1,intel,false
Acer,26,2154,13.2,1.57,11.5,Linux,2225.52,amd,true
Microsoft,60,765,15.3,2.93,3.1,macOS,318.97,amd,false
Asus,49,3710,13.6,8.13,8.0,Chrome OS,674.65,intel,true
Sony,39,1091,16.9,5.26,5.5,Chrome OS,1625.05,intel,true
Apple,61,3879,11.5,3.32,10.9,macOS,915.93,amd,false
Apple,58,189,16.6,9.09,10.5,Chrome OS,1819.62,amd,true
Acer,37,4005,16.9,7.32,9.1,Linux,2881.83,intel,false
Samsung,58,1638,12.1,2.85,5.2,Chrome OS,1108.62,nvidia,true
Dell,18,2795,13.9,8.08,5.8,Windows,2068.29,intel,true
Sony,32,3938,10.4,4.47,6.2,Chrome OS,3556.35,intel,true
Asus,16,3049,13.3,3.48,4.3,macOS,1894.02,intel,false
Asus,11,3908,14.6,6.67,2.1,Linux,4944.32,amd,true
Samsung,13,274,10.5,1.12,10.1,macOS,1975.27,amd,false
Samsung,56,2868,11.3,5.38,3.9,Windows,4273.87,amd,false
Toshiba,28,1027,14.2,5.67,2.5,macOS,3589.69,nvidia,true
Microsoft,30,2352,10.7,2.01,7.2,macOS,214.28,amd,true
Apple,64,2906,16.0,3.53,9.7,Linux,924.99,nvidia,true
Samsung,5,2157,10.5,6.18,5.8,Windows,3471.76,intel,false
Lenovo,32,4060,14.1,2.75,6.9,Linux,734.54,nvidia,true
Sony,63,3782,13.3,4.5,6.0,Windows,1969.53,amd,true
Sony,40,4013,14.0,5.68,2.1,Windows,2836.76,amd,true
Apple,4,2800,11.1,7.94,7.1,Windows,2836.23,nvidia,true
Apple,23,2397,11.8,3.5,8.5,Windows,3739.02,amd,false
HP,16,3644,14.6,1.02,6.9,Chrome OS,1795.12,nvidia,true
Dell,58,2205,10.8,8.19,7.5,Chrome OS,3906.99,nvidia,false
Sony,41,1275,10.2,4.75,11.4,Chrome OS,1886.92,nvidia,true
Lenovo,31,3322,14.3,6.95,7.8,Windows,4390.82,amd,false
Microsoft,38,3736,14.5,7.73,11.6,Windows,2885.39,amd,false
Asus,33,2933,16.6,4.66,3.1,macOS,2838.74,amd,false
Toshiba,58,1454,15.7,8.95,4.7,Linux,3320.75,amd,false
Toshiba,30,1749,15.0,6.49,8.7,Linux,4171.12,amd,true
Lenovo,2,3677,16.1,2.96,2.0,Windows,3658.81,intel,false
Lenovo,21,670,10.5,5.89,7.4,Chrome OS,3475.68,intel,true
Sony,33,1529,12.7,6.21,11.6,macOS,3082.98,nvidia,false
Apple,27,1341,10.7,2.65,3.0,Windows,3869.68,intel,false
HP,27,1966,14.5,1.11,5.8,Linux,3084.13,nvidia,true
Apple,23,3300,13.4,8.93,10.4,Windows,1210.72,nvidia,false
Dell,25,3818,12.4,7.26,11.5,Linux,1811.15,intel,false
Toshiba,19,2997,13.1,8.67,6.7,Windows,1106.25,nvidia,true
Apple,26,2979,14.7,9.55,12.0,Chrome OS,3034.15,nvidia,true
Dell,26,2901,13.6,7.55,5.2,macOS,2107.1,intel,true
Sony,21,2610,10.0,1.02,9.6,Linux,3883.5,nvidia,false
Samsung,32,3223,13.8,8.87,8.3,macOS,3175.69,nvidia,false
Microsoft,62,499,13.0,8.8,11.4,Windows,1967.55,nvidia,true
HP,5,2272,12.0,2.88,11.6,macOS,600.51,amd,false
Toshiba,10,2285,13.4,6.66,9.1,Linux,3546.08,intel,true
Dell,54,2920,15.3,5.15,6.5,Chrome OS,1627.18,amd,true
Dell,7,2574,13.9,4.62,8.7,Chrome OS,3511.95,amd,true
HP,16,3848,11.7,1.07,11.5,Linux,1757.94,nvidia,true
HP,7,3434,12.1,6.58,11.0,macOS,696.39,amd,true
Acer,52,1707,11.2,3.3,4.3,Windows,1339.87,amd,true
Dell,5,2561,11.9,3.35,3.1,macOS,1959.17,nvidia,false
Apple,13,2824,11.4,1.71,11.4,Windows,714.21,nvidia,false
Sony,23,1048,15.9,9.37,5.9,Linux,3461.37,intel,true
HP,28,3755,10.4,1.37,6.9,macOS,2267.95,amd,true
Apple,35,932,13.7,8.19,7.6,Chrome OS,1336.54,nvidia,true
Sony,2,2579,11.9,4.48,2.8,Chrome OS,4085.37,amd,true
Lenovo,22,2829,12.0,5.72,5.6,Windows,4486.68,amd,true
Apple,19,2841,14.8,5.77,5.9,macOS,497.83,amd,false
Samsung,18,3192,10.8,8.33,9.6,Windows,549.3,amd,true
Sony,37,245,15.8,6.52,8.9,macOS,4011.7,intel,false
Toshiba,40,3658,15.3,3.42,7.7,Chrome OS,270.75,amd,false
